_id,chinese_name,english_name,country
44,华沙社会心理学与人文大学,SWPS University of Social Sciences and Humanities,Poland
45,华沙经济与人文科学学院,University of Economics and Human Sciences in Warsaw,Poland
46,核化学与技术研究所,Institute of Nuclear Chemistry and Technology,Poland
47,华沙生命科学大学,Warsaw University of Life Sciences,Poland
48,华沙体育学院,Józef Piłsudski University of Physical Education in Warsaw,Poland
49,居里夫人大学,Maria Curie-Skłodowska University in Lublin,Poland
50,凯尔采圣十字技术大学,Kielce University of Technology,Poland
51,科兹明斯基大学,Kozminski University,Poland
52,卡托维兹西里西亚大学,University of Silesia in Katowice,Poland
53,卡托维兹西里西亚医科大学,Medical University of Silesia,Poland
54,克拉科夫技术大学,Cracow University of Technology,Poland
55,克拉科夫音乐学院,Academy of Music in Kraków,Poland
56,凯尔采大学,Jan Kochanowski University in Kielce,Poland
57,克拉科夫莫德爵夫斯基学院,Andrzej Frycz Modrzewski Krakow University,Poland
58,克拉科夫AGH科技大学,AGH University of Science and Technology,Poland
59,莱格尼察国立高等职业学校,Witelon State University of Applied Sciences in Legnica,Poland
60,罗兹工业大学,Lodz University of Technology,Poland
61,罗兹医科大学,Medical University of Lodz,Poland
62,罗兹音乐学院,Grażyna and Kiejstut Bacewicz Academy of Music in Łódź,Poland
63,罗兹国立电影电视戏剧学校,Leon Schiller National Film School in Łódź,Poland
64,利平斯基音乐学院,Karol Lipiński Academy of Music in Wrocław,Poland
65,卢布林医科大学,Medical University of Lublin,Poland
66,拉扎尔斯基大学,Lazarski University,Poland
67,卢布林经济与创新大学,University of Economics and Innovation in Lublin,Poland
68,罗兹大学,University of Lodz,Poland
69,帕德莱夫斯基音乐学院,Ignacy Jan Paderewski Academy of Music in Poznań,Poland
70,琴斯托霍瓦语言学院,Linguistic School of Częstochowa,Poland
71,热舒夫信息技术与管理大学,University of Information Technology and Management in Rzeszow,Poland
72,热舒夫大学,University of Rzeszów,Poland
73,热舒夫技术大学,Rzeszów University of Technology,Poland
74,什切青波美拉尼亚医科大学,Pomeranian Medical University in Szczecin,Poland
75,什切青大学,University of Szczecin,Poland
76,什切青艺术学院,Academy of Art in Szczecin,Poland
77,社会科学大学,University of Social Sciences,Poland
78,托伦哥白尼大学,Nicolaus Copernicus University in Toruń,Poland
79,沃沃明国际与区域合作大学,Zygmunt Gloger University of International and Regional Cooperation in Wołomin,Poland
80,WSB学院,Akademia WSB University,Poland
81,维斯瓦学院,Vistula University,Poland
82,席曼诺夫斯基音乐学院,Karol Szymanowski Academy of Music in Katowice,Poland
83,新松奇商学院-路易斯大学,National Louis University in Nowy Sącz,Poland
84,西波美拉尼亚技术大学,West Pomeranian University of Technology  Szczecin,Poland
85,西里西亚技术大学,Silesian University of Technology,Poland
86,肖邦音乐大学,Fryderyk Chopin University of Music,Poland
87,西维塔斯学院,Collegium Civitas,Poland
88,雅盖隆大学,Jagiellonian University,Poland
89,爱知学院大学短期大学部,Aichi Gakuin University Junior College,Japan
90,爱知产业大学短期大学,Aichi Sangyo University Junior College,Japan
91,爱甲学院专门学校,Aiko Gakuin College,Japan
92,爱知县立艺术大学,Aichi Prefectural University of Fine Arts and Music,Japan
93,安川专门学校罗伊摩登学院,Yasukawa College Roy Mode Academy,Japan
94,爱普生情报科学专门学校,Epson College of Information Science,Japan
95,爱知县立大学,Aichi Prefectural University,Japan
96,爱知商务专门学校,Aichi Business College,Japan
97,爱媛大学,Ehime University,Japan
98,爱知东邦大学,Aichi Toho University,Japan
99,阿尔法医疗福祉专门学校,Alpha College of Medical Welfare,Japan
100,爱知教育大学,Aichi University of Education,Japan
101,爱国学园大学,Aikoku Gakuen University,Japan
102,爱知文教大学,Aichi Bunkyo University,Japan
103,爱知大学,Aichi University,Japan
104,爱知医科大学,Aichi Medical University,Japan
105,爱知学院大学,Aichi Gakuin University,Japan
106,爱知学泉大学,Aichi Gakusen University,Japan
107,爱知工科大学,Aichi University of Technology,Japan
108,爱知工业大学,Aichi Institute of Technology,Japan
109,爱知产业大学,Aichi Sangyo University,Japan
110,爱知淑德大学,Aichi Shukutoku University,Japan
111,安田女子大学,Yasuda Women's University,Japan
112,柏木实业专门学校,Kashiwagi Jitsugyo College,Japan
113,北洋大学,Hokuyo University,Japan
114,白凤短期大学,Hakuho College,Japan
115,八户学院大学,Hachinohe Gakuin University,Japan
116,北星学园大学短期大学部,Hokusei Gakuen University Junior College,Japan
117,浜松医科大学,Hamamatsu University School of Medicine,Japan
118,兵库教育大学,Hyogo University of Teacher Education,Japan
119,北陆大学,Hokuriku University,Japan
120,阪南大学,Hannan University,Japan
121,宝塚大学,Takarazuka University,Japan
122,宝塚医疗大学,Takarazuka University of Medical Healthcare,Japan
123,别府大学短期大学部,Beppu University Junior College,Japan
124,别府沟部学园短期大学,Beppu Mizobe Gakuen College,Japan
125,兵库大学,Hyogo University,Japan
126,北九州市立大学,University of Kitakyushu,Japan
127,兵库医科大学,Hyogo Medical University,Japan
128,北陆先端科学技术大学院大学,Japan Advanced Institute of Science and Technology,Japan
129,北亚大学,North Asia University,Japan
130,白鸥大学,Hakuoh University,Japan
131,别府大学,Beppu University,Japan
132,北海道大学,Hokkaido University,Japan
133,兵库县立大学,University of Hyogo,Japan
134,八户工业大学,Hachinohe Institute of Technology,Japan
135,北星学园大学,Hokusei Gakuen University,Japan
136,北海学园大学,Hokkai Gakuen University,Japan
137,北海商科大学,Hokkai University of Commerce,Japan
138,北海道医疗大学,Hokkaido University of Science,Japan
139,北海道科学大学,Hokkaido University of Science,Japan
140,北海道情报大学,Hokkaido Information University,Japan
141,北海道文教大学,Hokkaido Bunkyo University,Japan
142,北里大学,Kitasato University,Japan
143,白百合女子大学,Shirayuri University,Japan
144,比治山大学,Hijiyama University,Japan
145,北海道教育大学,Hokkaido University of Education,Japan
146,北见工业大学,Kitami Institute of Technology,Japan
147,茨城女子短期大学,Ibaraki Women's Junior College,Japan
148,创形美术学校,Sokei Academy of Art,Japan
149,CAD制图专门学校,CAD Drafting College,Japan
150,冲绳医疗工学院,Okinawa College of Medical Technology,Japan
151,产业能率大学,Sangyo Noritsu University,Japan
152,朝日大学,Asahi University,Japan
153,川口文化服装专门学校,Kawaguchi Bunka Fashion College,Japan
154,赤堀糕点制作专门学校,Akahori Confectionery College,Japan
155,川崎医疗短期大学,Kawasaki College of Allied Health Professions,Japan
156,川村学园女子大学,Kawamura Gakuen Women's University,Japan
157,成蹊大学,Seikei University,Japan
158,嵯峨美术大学,Saga University of Arts,Japan
159,城西大学,Josai University,Japan
160,城西短期大学,Josai Junior College,Japan
161,赤门汽车维修专门学校,Akamon Automobile Technical College,Japan
162,茨城基督教大学,Ibaraki Christian University,Japan
163,常磐大学,Tokiwa University,Japan
164,成安造型大学,Seian University of Art and Design,Japan
165,崇城大学,Sojo University,Japan
166,冲绳大学,University of Okinawa,Japan
167,冲绳国际大学,Okinawa International University,Japan
168,冲绳科学技术大学院大学,Okinawa Institute of Science and Technology,Japan
169,成城大学,Seijo University,Japan
170,池坊短期大学,Ikebono Junior College,Japan
171,城西国际大学,Josai International University,Japan
172,茨城县立医疗大学,Ibaraki Prefectural University of Health Sciences,Japan
173,创价大学,Soka University,Japan
174,常叶大学,Tokoha University,Japan
175,仓敷艺术科学大学,Kurashiki University of Science and the Arts,Japan
176,仓敷作阳大学,Kurashiki Sakuyo University,Japan
177,冲绳县立艺术大学,Okinawa Prefectural University of Arts,Japan
178,茨城大学,Ibaraki University,Japan
179,产业医科大学,University of Occupational and Environmental Health  Japan,Japan
180,大阪文化服装学院,Osaka Bunka Fashion College,Japan
181,大阪樟荫女子大学,Osaka Shoin Women's University,Japan
182,大阪女学院大学,Osaka Jogakuin University,Japan
183,东京COOLJAPAN专门学校,Tokyo Cool Japan College,Japan
184,大阪女学院短期大学,Osaka Jogakuin Junior College,Japan
185,东京经济大学,Tokyo Keizai University,Japan
186,岛根县立大学,Shimane University of Prefectural University,Japan
187,东京演员电影放送专门学校,Tokyo Announce Gakuin College of Arts,Japan
188,岛根康复学院,Rehabilitation College Shimane,Japan
189,大阪动画学院专门学校,Osaka Animation College,Japan
190,大原薄记公务员医疗信息商务专门学校津田沼校,O-hara Accounting  Public Servant  Medical Information and Business College Tsudanuma Campus,Japan
191,大阪外语专门学校,Osaka School of Foreign Languages,Japan
192,大原簿记信息商务专门学校横滨校区,O-hara Accounting and Information Business College Yokohama Campus,Japan
193,东和IT专门学校,Towa IT College,Japan
194,大分工业高等专门学校,Oita National College of Technology,Japan
195,德岛工业短期大学,Tokushima College of Technology,Japan
196,东京日建工科专门学校,Tokyo Nikken College of Technology,Japan
197,大阪医专,Osaka Medical College,Japan
198,独协大学,Dokkyo University,Japan
199,东京电机大学,Tokyo Denki University,Japan
200,都留文科大学,Tsuru University,Japan
201,帝京大学,Teikyo University,Japan
202,东京医科大学,Tokyo Medical University,Japan
203,东京医疗保健大学,Tokyo Healthcare University,Japan
204,东京音乐大学,Tokyo College of Music,Japan
205,东京家政大学,Tokyo Kasei University,Japan
206,东京工科大学,Tokyo University of Technology,Japan
207,东京工艺大学,Tokyo Polytechnic University,Japan
208,东京女子大学,Tokyo Woman's Christian University,Japan
209,东京造型大学,Tokyo Zokei University,Japan
210,东京农业大学,Tokyo University of Agriculture,Japan
211,东京富士大学,Tokyo Fuji University,Japan
212,东京药科大学,Tokyo University of Pharmacy and Life Sciences,Japan
213,东邦大学,Toho University,Japan
214,东洋大学,Toyo University,Japan
215,东洋学园大学,Toyo Gakuen University,Japan
216,帝京平成大学,Teikyo Heisei University,Japan
217,东京情报大学,Tokyo University of Information Sciences,Japan
218,大妻女子大学,Otsuma Women's University,Japan
219,大正大学,Taisho University,Japan
220,大东文化大学,Daito Bunka University,Japan
221,多摩大学,Tama University,Japan
222,多摩美术大学,Tama Art University,Japan
223,东海学院大学,Tokai Gakuen University,Japan
224,帝塚山大学,Tezukayama University,Japan
225,东北大学,Tohoku University,Japan
226,东京大学,The University of Tokyo,Japan
227,东京外国语大学,Tokyo University of Foreign Studies,Japan
228,东京学艺大学,Tokyo Gakugei University,Japan
229,东京农工大学,Tokyo University of Agriculture and Technology,Japan
230,东京艺术大学,Tokyo University of the Arts,Japan
231,东京海洋大学,Tokyo University of Marine Science and Technology,Japan
232,电气通信大学,The University of Electro-Communications,Japan
233,东亚大学,University of East Asia,Japan
234,德岛文理大学,Tokushima Bunri University,Japan
235,岛根大学,Shimane University,Japan
236,东北电子专门学校,Tohoku Electronics College,Japan
237,东放学园音响专门学校,Toho Gakuen Film Techniques Training College,Japan
238,东京MODE学园专门学校,Tokyo Mode Gakuen,Japan
239,东京福祉保育专门学校,Tokyo University of Social Welfare and Early Childhood Education,Japan
240,东京广播学院专门学校,Tokyo Announce Gakuin College of Broadcasting,Japan
241,东京国际商务学院专门学校,Tokyo International Business College,Japan
242,东京优雅糕点烹饪专门学校,Tokyo Belle Époque Confectionery & Cooking College,Japan
243,东京技术学院专门学校,Tokyo Technical College,Japan
244,东京交流艺术专门学校,Tokyo Communication Arts College,Japan
245,东京商科法科学院专门学校,Tokyo College of Business and Law,Japan
246,东京设计技术中心专门学校,Tokyo Design Technology Center College,Japan
247,东京设计专门学校,Tokyo Design Academy,Japan
248,东京数字艺术专门学校,Digital Arts Tokyo,Japan
249,东京糕点制作学校,Tokyo Confectionery School,Japan
250,东京动画学院专门学校,Tokyo Animation College,Japan
251,东京时尚商业学院,Fashion Business College Tokyo,Japan
252,读卖理工医疗福祉专门学校,Yomiuri College of Science and Technology  Medical and Welfare,Japan
253,东京经营短期大学,Tokyo University of Management,Japan
254,东京女子医科大学,Tokyo Women's Medical University,Japan
255,大阪观光商务学院,Osaka Tourism & Business College,Japan
256,帝京大学短期大学,Teikyo University Junior College,Japan
257,东放学园专门学校,Toho Gakuen College of Film Techniques,Japan
258,东北医科药科大学,Tohoku Medical and Pharmaceutical University,Japan
259,东大阪大学短期大学部,Higashi Osaka University Junior College,Japan
260,东京国际学园外语专门学校,Tokyo Kokusai Gakuen Foreign Language School,Japan
261,大阪大学,Osaka University,Japan
262,东京立正短期大学,Tokyo Rissho Junior College,Japan
263,大阪信息计算机专门学校,Osaka Information Computer College,Japan
264,东京心理音乐疗法福祉专门学校,Tokyo Psychological Music Therapy and Welfare College,Japan
265,东洋美术学校,Toyo Art School,Japan
266,东日本国际大学,Higashi Nippon International University,Japan
267,大原大学院大学,Ohara University Graduate School,Japan
268,东京甜品咖啡专门学校,Tokyo Sweets & Cafe College,Japan
269,东京营养食粮专门学校,Tokyo College of Nutrition,Japan
270,东京工学院专门学校,Tokyo Engineering College,Japan
271,大阪学院大学短期大学部,Osaka Gakuin University Junior College,Japan
272,大阪综合设计专门学校,Osaka Design College,Japan
273,大阪艺术大学附属大阪美术专门学校,Osaka University of Arts  Osaka School of Fine Arts,Japan
274,大阪MODE学园专门学校,Mode Gakuen Osaka,Japan
275,东海大学,Tokai University,Japan
276,大阪艺术大学,Osaka University of Arts,Japan
277,带广畜产大学,Obihiro University of Agriculture and Veterinary Medicine,Japan
278,DRESSMAKER学院,Dressmaker Gakuin,Japan
279,东京电子专门学校,Tokyo Electronic College,Japan
280,大阪成蹊短期大学,Osaka Seikei Junior College,Japan
281,大阪艺术大学短期大学部,Osaka University of Arts Junior College,Japan
282,大分大学,Oita University,Japan
283,东北学院大学,Tohoku Gakuin University,Japan
284,东北工业大学,Tohoku Institute of Technology,Japan
285,东北福祉大学,Tohoku Fukushi University,Japan
286,东北艺术工科大学,Tohoku University of Art and Design,Japan
287,东北公益文科大学,Tohoku University of Community Service & Science,Japan
288,东京国际大学,Tokyo International University,Japan
289,东邦音乐大学,Toho College of Music,Japan
290,大同大学,Daido University,Japan
291,大谷大学,Otani University,Japan
292,大阪大谷大学,Osaka Ohtani University,Japan
293,大原医疗秘书福祉专门学校大宫校,O'hara College of Medical Secretarial and Welfare  Omiya Campus,Japan
294,东京国际商务学院专门学校神户校,Tokyo International Business College Kobe Campus,Japan
295,大阪公立大学,Osaka Metropolitan University,Japan
296,东海学园大学,Tokai Gakuen University,Japan
297,大阪医科药科大学,Osaka Medical and Pharmaceutical University,Japan
298,大原簿记专门学校大阪校,O'hara Accounting College Osaka Campus,Japan
299,东京齿科卫生专门学校,Tokyo Dental Hygienist School,Japan
300,东京都市大学,Tokyo City University,Japan
301,东北外国语观光专门学校,Tohoku Foreign Language and Tourism College,Japan
302,东京成德大学,Tokyo Seitoku University,Japan
303,东京福祉大学,Tokyo University of Social Welfare,Japan
304,东京航空旅游酒店管理学校,Tokyo Air Travel & Hotel College,Japan
305,大妻女子大学短期大学部,Otsuma Women's University Junior College,Japan
306,东京英语专门学校,Tokyo School of English,Japan
307,东京山手厨师专门学校,Tokyo Yamate Culinary College,Japan
308,东京综合写真专门学校,Tokyo College of Photography,Japan
309,大阪YMCA国际专门学校,Osaka YMCA International College,Japan
310,大阪音乐专门学校,Osaka School of Music College,Japan
311,东京家政学院大学,Tokyo Kasei Gakuin University,Japan
312,第一工科大学,Daiichi Institute of Technology,Japan
313,东京酒店与旅游学院专门学校,Tokyo Hotel & Travel College,Japan
314,大原外语旅游与婚礼美容专门学校,O'hara College of Foreign Languages  Tourism  Bridal and Beauty,Japan
315,东京福祉专门学校,Tokyo College of Social Welfare,Japan
316,东京理科大学,Tokyo University of Science,Japan
317,东放学园电影专门学校,Toho Gakuen Film Techniques Training College,Japan
318,东京服饰专门学校,Tokyo School of Fashion,Japan
319,东亚经理专门学校神户站前分校,Toa Keiri College Kobe Ekimae Campus,Japan
320,东京音乐学院专门学校,Musicians Institute Tokyo,Japan
321,东海齿科医疗专门学校,Tokai Dental Medical College,Japan
322,东京动漫与声优&电竞专门学校,Tokyo Animation  Voice Acting & e-Sports College,Japan
323,东京外语专门学校,Tokyo College of Foreign Languages,Japan
324,东京都立大学,Tokyo Metropolitan University,Japan
325,东京音乐与舞蹈专门学校,Tokyo School of Music & Dance College,Japan
326,东京商务外语学院专门学校,Tokyo Business and Language College,Japan
327,德岛大学,Tokushima University,Japan
328,独协医科大学,Dokkyo Medical University,Japan
329,东京神学大学,Tokyo Union Theological Seminary,Japan
330,大阪府立大学,Osaka Prefecture University,Japan
331,大阪市立大学,Osaka City University,Japan
332,东京音乐专门学校涩谷校区,Tokyo School of Music College Shibuya,Japan
333,东京都立产业技术大学院大学,Advanced Institute of Industrial Technology,Japan
334,东京音乐专门学校,Tokyo School of Music College,Japan
335,东海学院文化教养专门学校,Tokai Gakuin College of Culture and Liberal Arts,Japan
336,东京寿司和食烹饪专门学校,Tokyo Sushi & Japanese Cuisine College,Japan
337,德岛文理大学短期大学部,Tokushima Bunri University Junior College,Japan
338,东京未来大学福祉保育专门学校,Tokyo Future University College of Welfare and Early Childhood Education,Japan
339,大原薄记公务员医疗福祉保育专门学校立川校,O-hara School of Accounting  Public Servant  Medical Welfare and Nursery Tachikawa School,Japan
340,东京科学大学,Tokyo University of Science,Japan
341,东京动画制作学院专门学校,Tokyo Animator Gakuin College,Japan
342,东京设计师学院专门学校,Tokyo Designer Gakuin College,Japan
343,大阪教育大学,Osaka Kyoiku University,Japan
344,大阪音乐大学,Osaka College of Music,Japan
345,大阪学院大学,Osaka Gakuin University,Japan
346,大阪观光大学,Osaka University of Tourism,Japan
347,大阪经济大学,Osaka University of Economics,Japan
348,大阪经济法科大学,Osaka University of Economics and Law,Japan
349,大阪工业大学,Osaka Institute of Technology,Japan
350,大阪国际大学,Osaka International University,Japan
351,大阪产业大学,Osaka Sangyo University,Japan
352,大阪齿科大学,Osaka Dental University,Japan
353,大阪商业大学,Osaka University of Commerce,Japan
354,大阪成蹊大学,Osaka Seikei University,Japan
355,大阪体育大学,Osaka University of Health and Sport Sciences,Japan
356,大阪电气通信大学,Osaka Electro-Communication University,Japan
357,东洋英和女学院大学,Toyo Eiwa University,Japan
358,帝京科学大学,Teikyo University of Science,Japan
359,东大阪大学,Higashi Osaka University,Japan
360,大和大学,Yamato University,Japan
361,大手前大学,Otemae University,Japan
362,大阪生物医疗专门学校,Osaka Biomedical College,Japan
363,大原簿记学校,O-hara School of Accounting,Japan
364,ESP音乐专门学校大阪校区,ESP Entertainment Osaka,Japan
365,ELIC商务与公务员专门学校,ELIC Business & Public Service College,Japan
366,ECC国际外语专门学校,ECC International College of Foreign Languages,Japan
367,ECC计算机专门学校,ECC Computer College,Japan
368,ESP音乐专门学校东京校区,ESP Entertainment Tokyo,Japan
369,二松学舍大学,Nishogakusha University,Japan
370,福冈大学,Fukuoka University,Japan
371,福冈工业大学,Fukuoka Institute of Technology,Japan
372,福冈齿科大学,Fukuoka Dental College,Japan
373,福岛县立医科大学,Fukushima Medical University,Japan
374,福冈设计与科技专门学校,Fukuoka Design & Technology College,Japan
375,福冈国际医疗福祉大学,International University of Health and Welfare Fukuoka,Japan
376,富士计算机专门学校,Fuji Computer College,Japan
377,放送艺术学院专门学校,Broadcasting Arts College,Japan
378,富山大学,University of Toyama,Japan
379,福井大学,University of Fukui,Japan
380,丰桥技术科学大学,Toyohashi University of Technology,Japan
381,富山国际大学,Toyama International University,Japan
382,福井工业大学,Fukui University of Technology,Japan
383,富士国际商务专门学校,Fuji International Business College,Japan
384,福冈女学院大学,Fukuoka Women's University,Japan
385,FORUM信息专门学校,Forum Information Academy,Japan
386,服部营养专门学校,Hattori Nutrition College,Japan
387,福冈教育大学,Fukuoka University of Education,Japan
388,法政大学,Hosei University,Japan
389,丰桥创造大学,Toyohashi Sozo University,Japan
390,佛教大学,Bukkyo University,Japan
391,菲莉斯女学院大学,Ferris University,Japan
392,福山大学,Fukuyama University,Japan
393,福冈设计专门学校,Fukuoka Design College,Japan
394,富山创意专门学校,Toyama Creative College,Japan
395,富山县立大学,University of Toyama,Japan
396,福井县立大学,Fukui Prefectural University,Japan
397,富士大学,Fuji University,Japan
398,福山平成大学,Fukuyama Heisei University,Japan
399,福山市立大学,Fukuyama City University,Japan
400,福冈县立大学,Fukuoka Prefectural University,Japan
401,福冈女子大学,Fukuoka Women's University,Japan
402,福岛大学,Fukushima University,Japan
403,国际佛教学大学院大学,International College for Postgraduate Buddhist Studies,Japan
404,冈山科学技术专门学校,Okayama College of Science and Technology,Japan
405,国际技术设计与汽车专门学校,International Technical Design Automotive College,Japan
406,关西会计专门学校,Kansai Accounting College,Japan
407,广岛大学,Hiroshima University,Japan
408,国际贡献专门大学校,The University of International Contribution,Japan
409,关西外国语大学短期大学部,Kansai Gaidai College,Japan
410,格雷格外语专门学校横滨校区,Gregg Foreign Language School  Yokohama Campus,Japan
411,高崎健康福祉大学,Takasaki University of Health and Welfare,Japan
412,广岛国际学院大学,Hiroshima International Gakuin University,Japan
413,广岛都市学园大学,Hiroshima Institute of Technology,Japan
414,国际观光专门学校,International Tourism College,Japan
415,公立诹访东京理科大学,Public University of Suwa,Japan
416,国际语言学院外国语专门学校,Kokusai Kotoba Gakuin College of Foreign Languages,Japan
417,国际动画专门学校,International Animation College,Japan
418,广岛市医师会看护专门学校,Hiroshima City Medical Association Nursing School,Japan
419,冈山商科大学专门学校,Okayama University of Commerce College,Japan
420,关东学院大学,Kanto Gakuin University,Japan
421,关西医科大学,Kansai Medical University,Japan
422,关西外国语大学,Kansai Gaidai University,Japan
423,国际大学,International University of Japan,Japan
424,关西国际大学,Kansai University of International Studies,Japan
425,格雷格外语专门学校,Gregg Foreign Language School,Japan
426,关西外语专门学校,Kansai College of Foreign Languages,Japan
427,广岛国际商务学院专门学校,Hiroshima International Business College,Japan
428,国际双业务专门学校,Kokusai Dual Business College,Japan
429,格雷格外语专门学校新宿校区,Gregg Foreign Language School  Shinjuku Campus,Japan
430,公立鸟取环境大学,Tottori University of Environmental Studies,Japan
431,国际电子会计专门学校,International College of Electronics and Accountancy,Japan
432,国际观光专门学校名古屋校区,International Tourism College  Nagoya Campus,Japan
433,国际外语旅游航空专门学校,International College of Foreign Languages  Tourism and Airline,Japan
434,国际情报经济专门学校,International College of Information Economics,Japan
435,国际情报商务专门学校,International College of Information Business,Japan
436,国际商务专门学校,International School of Business,Japan
437,共爱学园前桥国际大学,Kyoai Gakuen University,Japan
438,高冈法科大学,Takaoka University of Law,Japan
439,高野山大学,Koyasan University,Japan
440,宫崎大学,University of Miyazaki,Japan
441,国际短期大学,Kokusai Junior College,Japan
442,关东学园大学,Kanto Gakuen University,Japan
443,高崎商科大学,Takasaki University of Commerce,Japan
444,共荣大学,Kyoei University,Japan
445,宫崎产业经营大学,Miyazaki Sangyo-keiei University,Japan
446,公立函馆未来大学,Future University Hakodate,Japan
447,顾彼思商学院,GLOBIS University Graduate School of Management,Japan
448,关西学院大学,Kwansei Gakuin University,Japan
449,国际时尚专门职大学,Bunka Fashion Graduate University,Japan
450,国际医疗福祉大学,International University of Health and Welfare,Japan
451,国际商务设计专门学校,Kokusai Business Design College,Japan
452,国际食品糕点制作专门学校,Kokusai Food Confectionery College,Japan
453,国际综合健康专门学校,Kokusai Sogo Kenko College,Japan
454,关西大学,Kansai University,Japan
455,关西本田技术学院,Honda Technical College Kansai,Japan
456,冈山医疗福祉专门学校,Okayama College of Health and Welfare,Japan
457,高知大学,Kochi University,Japan
458,关东本田技术学院,Honda Technical College Kanto,Japan
459,国际旅游酒店婚礼专门学校,Kokusai Travel Hotel Bridal College,Japan
460,高田短期大学,Takada Junior College,Japan
461,宫城大学,Miyagi University,Japan
462,国际教养大学,Akita International University,Japan
463,高崎经济大学,Takasaki City University of Economics,Japan
464,国际武道大学,International Budo University,Japan
465,共立女子大学,Kyoritsu Women's University,Japan
466,国立音乐大学,Kunitachi College of Music,Japan
467,工学院大学,Kogakuin University,Japan
468,国学院大学,Kokugakuin University,Japan
469,国际基督教大学,International Christian University,Japan
470,国士馆大学,Kokushikan University,Japan
471,高千穗大学,Takachiho University,Japan
472,冈山商科大学,Okayama University of Commerce,Japan
473,冈山理科大学,Okayama University of Science,Japan
474,广岛文化学园大学,Hiroshima Bunka Gakuen University,Japan
475,广岛经济大学,Hiroshima University of Economics,Japan
476,广岛工业大学,Hiroshima Institute of Technology,Japan
477,广岛国际大学,Hiroshima International University,Japan
478,广岛修道大学,Hiroshima Shudo University,Japan
479,广岛女学院大学,Hiroshima Jogakuin University,Japan
480,冈山县立大学,Okayama Prefectural University,Japan
481,广岛市立大学,Hiroshima City University,Japan
482,高知县立大学,Kochi Prefectural University,Japan
483,高知工科大学,Kochi University of Technology,Japan
484,宫崎公立大学,Miyazaki Municipal University,Japan
485,宫城教育大学,Miyagi University of Education,Japan
486,高松大学,Takamatsu University,Japan
487,冈山大学,Okayama University,Japan
488,横滨国立大学,Yokohama National University,Japan
